apps,bytes,time,mbytes-sec
intel,2097152,569.82,3680.36
intel,4194304,1067.29,3929.85
intel,0,9.36,0.00
intel,1,9.78,0.10
intel,2,8.56,0.23
intel,4,9.03,0.44
intel,8,8.90,0.90
intel,16,8.62,1.86
intel,32,8.87,3.61
intel,64,8.84,7.24
intel,128,9.28,13.79
intel,256,9.04,28.31
intel,512,9.07,56.46
intel,1024,10.92,93.81
intel,2048,9.96,205.61
intel,4096,11.43,358.33
intel,8192,12.26,667.94
intel,16384,16.66,983.47
intel,32768,27.79,1179.07
intel,65536,59.93,1093.61
intel,131072,71.95,1821.59
intel,262144,104.41,2510.61
intel,524288,165.79,3162.30
intel,1048576,283.00,3705.17
intel,2097152,521.69,4019.96
intel,4194304,1155.27,3630.57
intel,0,9.10,0.00
intel,1,9.20,0.11
intel,2,9.78,0.20
intel,4,8.96,0.45
intel,8,9.16,0.87
intel,16,9.01,1.78
intel,32,9.03,3.54
intel,64,9.50,6.74
intel,128,9.07,14.12
intel,256,9.38,27.30
intel,512,9.42,54.35
intel,1024,9.11,112.43
intel,2048,10.01,204.52
intel,4096,11.83,346.15
intel,8192,13.06,627.47
intel,16384,16.85,972.25
intel,32768,26.21,1250.09
intel,65536,58.09,1128.12
intel,131072,75.03,1746.83
intel,262144,105.46,2485.63
intel,524288,166.92,3140.95
intel,1048576,307.99,3404.53
intel,2097152,565.18,3710.61
intel,4194304,1199.02,3498.11
intel,0,9.33,0.00
intel,1,9.44,0.11
intel,2,8.59,0.23
intel,4,8.98,0.45
intel,8,8.43,0.95
intel,16,8.56,1.87
intel,32,8.67,3.69
intel,64,8.76,7.31
intel,128,8.99,14.24
intel,256,9.09,28.15
intel,512,9.28,55.15
intel,1024,9.54,107.32
intel,2048,11.01,185.96
intel,4096,11.34,361.27
intel,8192,11.98,683.96
intel,16384,16.05,1020.87
intel,32768,26.03,1259.00
intel,65536,58.27,1124.72
intel,131072,75.18,1743.33
intel,262144,100.21,2615.88
intel,524288,165.64,3165.17
intel,1048576,292.70,3582.38
intel,2097152,525.91,3987.68
intel,4194304,1037.87,4041.26
intel,0,8.68,0.00
intel,1,9.49,0.11
intel,2,9.51,0.21
intel,4,8.76,0.46
intel,8,8.94,0.90
intel,16,8.63,1.85
intel,32,8.48,3.77
intel,64,8.76,7.31
intel,128,8.65,14.79
intel,256,9.21,27.80
intel,512,8.81,58.09
intel,1024,10.57,96.91
intel,2048,10.20,200.77
intel,4096,12.07,339.34
intel,8192,12.47,657.18
intel,16384,15.85,1033.94
intel,32768,25.77,1271.32
intel,65536,59.18,1107.46
intel,131072,78.08,1678.76
intel,262144,102.30,2562.54
intel,524288,166.34,3151.90
intel,1048576,291.91,3592.10
intel,2097152,548.73,3821.86
intel,4194304,1087.18,3857.96
intel,0,8.64,0.00
intel,1,8.68,0.12
intel,2,8.91,0.22
intel,4,9.18,0.44
intel,8,9.74,0.82
intel,16,8.68,1.84
intel,32,9.02,3.55
intel,64,8.83,7.25
intel,128,9.09,14.08
intel,256,9.02,28.37
intel,512,9.94,51.49
intel,1024,9.35,109.48
intel,2048,10.05,203.85
intel,4096,11.46,357.43
intel,8192,12.70,644.83
intel,16384,17.67,927.41
intel,32768,25.73,1273.38
intel,65536,58.26,1124.93
intel,131072,72.43,1809.60
intel,262144,105.05,2495.53
intel,524288,166.48,3149.27
intel,1048576,291.22,3600.67
intel,2097152,524.71,3996.79
intel,4194304,1025.41,4090.36
intel,0,8.81,0.00
intel,1,8.36,0.12
intel,2,8.26,0.24
intel,4,8.69,0.46
intel,8,8.53,0.94
