apps,interface,time
exec_mg,eth,83.31
exec_ep,ib,37.19
exec_bt,eth,506.24
exec_cg,ipoib,180.31
exec_mg,ipoib,35.51
exec_bt,eth,505.92
exec_ep,eth,37.63
exec_imb_memory,eth,25.3365
exec_lu,ib,222.13
exec_lu,eth,304.51
exec_cg,ipoib,177.95
exec_imb_CPU,eth,8.6746
exec_imb_CPU,ipoib,8.6322
exec_is,ipoib,13.83
exec_imb_memory,ib,25.1655
exec_ep,ib,37.33
exec_ep,ipoib,37.28
exec_sp,eth,802.73
exec_mg,ib,33.94
exec_sp,ipoib,511.44
exec_ft,ipoib,165.07
exec_ft,eth,1583.84
exec_cg,eth,768.41
exec_sp,ib,452.24
exec_mg,eth,86.90
exec_ft,ib,143.20
exec_is,eth,152.28
exec_bt,ipoib,548.69
exec_cg,ib,182.08
exec_bt,ib,377.42
exec_alya,ib,261.88
exec_lu,ipoib,280.32
exec_alya,eth,295.51
exec_imb_memory,ipoib,26.0435
exec_imb_CPU,ib,8.6288
exec_alya,ipoib,280.54
exec_is,ib,10.19
exec_ft,ib,177.57
exec_imb_memory,ib,27.0607
exec_alya,ib,254.19
exec_alya,ipoib,281.19
exec_sp,ib,441.42
exec_cg,eth,769.60
exec_imb_memory,ipoib,27.9485
exec_ep,eth,38.72
exec_ep,ipoib,37.43
exec_mg,ipoib,34.22
exec_cg,ib,181.49
exec_imb_CPU,eth,8.6387
exec_bt,ib,378.23
exec_mg,ib,35.69
exec_mg,eth,84.98
exec_cg,ipoib,180.96
exec_imb_CPU,ipoib,8.6910
exec_sp,ipoib,512.24
exec_is,eth,151.47
exec_lu,ipoib,284.97
exec_ft,ipoib,170.34
exec_bt,eth,504.41
exec_bt,ipoib,539.73
exec_lu,eth,305.61
exec_sp,eth,801.16
exec_imb_CPU,ib,8.8416
exec_is,ib,10.62
exec_lu,ib,221.38
exec_ep,ib,37.20
exec_is,ipoib,14.57
exec_alya,eth,297.41
exec_ft,eth,1582.70
exec_imb_memory,eth,26.2839
exec_alya,ipoib,280.13
exec_is,eth,151.36
exec_imb_CPU,ib,9.0236
exec_imb_memory,eth,25.4705
exec_ft,ipoib,169.25
exec_ft,eth,1583.75
exec_ft,ib,143.80
exec_bt,eth,505.53
exec_lu,ib,224.37
exec_alya,eth,296.11
exec_alya,ib,251.77
exec_cg,eth,770.08
exec_sp,ib,454.88
exec_bt,ipoib,546.00
exec_cg,ib,182.33
exec_lu,ipoib,282.19
exec_imb_memory,ipoib,25.8546
exec_ep,ib,37.13
exec_mg,ib,34.44
exec_lu,eth,303.17
exec_cg,ipoib,180.06
exec_imb_CPU,ipoib,8.8093
exec_sp,eth,800.56
exec_sp,ipoib,514.27
exec_is,ib,10.31
exec_ep,eth,37.43
exec_ep,ipoib,37.25
exec_bt,ib,380.47
exec_mg,ipoib,34.69
exec_mg,eth,86.03
exec_imb_CPU,eth,8.8827
exec_is,ipoib,15.18
exec_imb_memory,ib,27.1335
exec_imb_CPU,ib,8.8045
exec_cg,ipoib,181.18
exec_cg,eth,768.68
exec_mg,ipoib,36.66
exec_bt,eth,505.28
exec_ep,eth,37.20
exec_is,ib,10.32
exec_alya,ipoib,282.75
exec_lu,eth,305.65
exec_sp,ipoib,521.76
exec_imb_memory,eth,25.7992
exec_alya,eth,297.07
exec_bt,ipoib,536.58
exec_sp,ib,459.87
exec_ep,ipoib,37.30
exec_cg,ib,183.41
exec_bt,ib,369.42
exec_is,eth,151.07
exec_mg,eth,86.95
exec_sp,eth,800.28
exec_imb_memory,ib,27.5192
