apps,interface,bytes,time,mbytes-sec
exec_intel,ipoib,16384,11.13,1472.21
exec_intel,ipoib,32768,18.23,1797.97
exec_intel,ipoib,65536,37.79,1734.35
exec_intel,ipoib,131072,50.71,2584.91
exec_intel,ipoib,262144,73.26,3578.21
exec_intel,ipoib,524288,118.89,4409.88
exec_intel,ipoib,1048576,209.63,5002.02
exec_intel,ipoib,2097152,395.50,5302.47
exec_intel,ipoib,4194304,763.89,5490.69
exec_intel,ipoib,0,6.90,0.00
exec_intel,ipoib,1,6.21,0.16
exec_intel,ipoib,2,6.13,0.33
exec_intel,ipoib,4,6.18,0.65
exec_intel,ipoib,8,6.13,1.30
exec_intel,ipoib,16,6.14,2.60
exec_intel,ipoib,32,6.16,5.20
exec_intel,ipoib,64,6.16,10.39
exec_intel,ipoib,128,6.15,20.82
exec_intel,ipoib,256,6.16,41.54
exec_intel,ipoib,512,6.16,83.15
exec_intel,ipoib,1024,6.22,164.52
exec_intel,ipoib,2048,6.95,294.76
exec_intel,ipoib,4096,8.10,505.50
exec_intel,ipoib,8192,8.62,950.81
exec_intel,ipoib,16384,11.17,1466.93
exec_intel,ipoib,32768,18.54,1767.45
exec_intel,ipoib,65536,38.94,1683.03
exec_intel,ipoib,131072,52.87,2479.26
exec_intel,ipoib,262144,75.04,3493.35
exec_intel,ipoib,524288,121.28,4323.09
exec_intel,ipoib,1048576,212.31,4938.82
exec_intel,ipoib,2097152,397.95,5269.86
exec_intel,ipoib,4194304,782.16,5362.48
exec_intel,ib,0,1.19,0.00
exec_intel,ib,1,1.16,0.86
exec_intel,ib,2,1.16,1.72
exec_intel,ib,4,1.14,3.51
exec_intel,ib,8,1.21,6.63
exec_intel,ib,16,1.22,13.13
exec_intel,ib,32,1.20,26.56
exec_intel,ib,64,1.29,49.69
exec_intel,ib,128,1.87,68.53
exec_intel,ib,256,2.00,127.94
exec_intel,ib,512,2.15,238.04
exec_intel,ib,1024,2.42,422.42
exec_intel,ib,2048,2.91,704.01
exec_intel,ib,4096,4.02,1018.75
exec_intel,ib,8192,5.76,1422.19
exec_intel,ib,16384,6.46,2537.35
exec_intel,ib,32768,8.43,3887.81
exec_intel,ib,65536,12.54,5226.74
exec_intel,ib,131072,20.90,6270.64
exec_intel,ib,262144,37.66,6960.63
exec_intel,ib,524288,71.37,7345.56
exec_intel,ib,1048576,137.77,7610.93
exec_intel,ib,2097152,270.35,7757.24
exec_intel,ib,4194304,538.29,7791.97
exec_intel,eth,0,6.72,0.00
exec_intel,eth,1,6.19,0.16
exec_intel,eth,2,6.05,0.33
exec_intel,eth,4,6.05,0.66
exec_intel,eth,8,5.99,1.34
exec_intel,eth,16,6.00,2.67
exec_intel,eth,32,5.97,5.36
exec_intel,eth,64,6.02,10.64
exec_intel,eth,128,6.05,21.17
exec_intel,eth,256,6.05,42.29
exec_intel,eth,512,6.09,84.12
exec_intel,eth,1024,6.10,167.81
exec_intel,eth,2048,6.84,299.43
exec_intel,eth,4096,8.14,502.89
exec_intel,eth,8192,8.44,970.90
exec_intel,eth,16384,11.43,1433.74
exec_intel,eth,32768,18.61,1760.68
exec_intel,eth,65536,39.20,1671.65
exec_intel,eth,131072,52.21,2510.58
exec_intel,eth,262144,74.66,3510.98
exec_intel,eth,524288,120.78,4340.92
exec_intel,eth,1048576,211.27,4963.32
exec_intel,eth,2097152,396.42,5290.25
exec_intel,eth,4194304,770.62,5442.74
exec_intel,ipoib,0,6.60,0.00
exec_intel,ipoib,1,6.13,0.16
exec_intel,ipoib,2,6.09,0.33
exec_intel,ipoib,4,6.08,0.66
exec_intel,ipoib,8,6.03,1.33
exec_intel,ipoib,16,6.04,2.65
exec_intel,ipoib,32,6.02,5.32
exec_intel,ipoib,64,6.07,10.55
exec_intel,ipoib,128,6.10,20.99
exec_intel,ipoib,256,6.09,42.06
exec_intel,ipoib,512,6.11,83.83
exec_intel,ipoib,1024,6.11,167.63
exec_intel,ipoib,2048,6.52,313.89
exec_intel,ipoib,4096,7.46,548.84
exec_intel,ipoib,8192,8.55,958.03
exec_intel,ipoib,16384,11.06,1482.02
exec_intel,ipoib,32768,18.54,1767.55
exec_intel,ipoib,65536,37.36,1754.18
exec_intel,ipoib,131072,51.10,2565.03
exec_intel,ipoib,262144,73.04,3588.94
exec_intel,ipoib,524288,118.61,4420.09
exec_intel,ipoib,1048576,207.98,5041.69
exec_intel,ipoib,2097152,388.58,5396.95
exec_intel,ipoib,4194304,778.80,5385.62
exec_intel,ib,0,1.14,0.00
exec_intel,ib,1,1.17,0.85
exec_intel,ib,2,1.19,1.68
exec_intel,ib,4,1.18,3.40
exec_intel,ib,8,1.19,6.71
exec_intel,ib,16,1.21,13.23
exec_intel,ib,32,1.20,26.56
exec_intel,ib,64,1.25,51.28
exec_intel,ib,128,1.81,70.58
exec_intel,ib,256,1.97,129.82
exec_intel,ib,512,2.10,243.83
exec_intel,ib,1024,2.39,427.69
exec_intel,ib,2048,2.88,710.09
exec_intel,ib,4096,4.02,1019.14
exec_intel,ib,8192,5.65,1449.94
exec_intel,ib,16384,6.22,2633.90
exec_intel,ib,32768,8.29,3953.48
exec_intel,ib,65536,12.57,5213.61
exec_intel,ib,131072,20.84,6288.59
exec_intel,ib,262144,37.62,6968.92
exec_intel,ib,524288,71.28,7355.26
exec_intel,ib,1048576,137.89,7604.20
exec_intel,ib,2097152,270.47,7753.80
exec_intel,ib,4194304,538.61,7787.22
exec_intel,eth,0,6.58,0.00
exec_intel,eth,1,7.21,0.14
exec_intel,eth,2,6.88,0.29
exec_intel,eth,4,6.81,0.59
exec_intel,eth,8,6.65,1.20
exec_intel,eth,16,6.48,2.47
exec_intel,eth,32,6.31,5.07
exec_intel,eth,64,6.23,10.28
exec_intel,eth,128,6.18,20.72
exec_intel,eth,256,6.11,41.90
